"Year","Month","Year_Month","flow_mm","Ca_flux","Mg_flux","K_flux","Na_flux","Al_Ferron_flux","TMAl_flux","OMAl_flux","Al_ICP_flux","NH4_flux","SO4_flux","NO3_flux","Cl_flux","PO4_flux","DOC_flux","TDN_flux","DON_flux","DIC_flux","SiO2_flux","Mn_flux","Fe_flux","F_flux","H_flux","pH_volwt","SpecCond_volwt","ANC_volwt"
1995,"06","1995-06",16.665,154.33195,54.9072,27.74845,139.71785,-888.88,-888.88,-888.88,-888.88,3.333,759.2716,1.6665,69.04565,0.09795,495.61755,-888.88,24.7582,-888.88,901.2165,-888.88,-888.88,-888.88,1.2044,5.14,14.17,0.61
1995,"07","1995-07",14.29,137.3849,51.6677,22.58495,148.1232,-888.88,-888.88,-888.88,-888.88,2.858,659.9759,1.429,60.79955,0.51,455.78425,-888.88,16.7691,-888.88,969.485,-888.88,-888.88,-888.88,0.594,5.38,15.29,3.16
1995,"08","1995-08",87.167,806.33565,274.0649,110.3354,662.4823,-888.88,-888.88,-888.88,-888.88,18.03075,4009.33015,8.7809,317.824,0,3392.27045,-888.88,110.1045,-888.88,4985.427,-888.88,-888.88,-888.88,8.6589,5,16.07,-13.02
1995,"09","1995-09",6.565,67.4905,26.7362,11.9353,83.5399,-888.88,-888.88,-888.88,-888.88,1.852,294.22785,2.2926,29.9917,0,141.2096,-888.88,8.792,-888.88,494.558,-888.88,-888.88,-888.88,0.0648,6.01,15.05,25.81
1995,"10","1995-10",215.485,1928.72855,702.4523,516.1806,1615.2557,-888.88,-888.88,-888.88,-888.88,40.2997,9830.06285,62.264,1399.9898,0,8227.35875,-888.88,327.7627,-888.88,11957.751,-888.88,-888.88,-888.88,25.2018,4.93,15.53,-8.16
1995,"11","1995-11",165.255,1395.50615,488.8732,303.85105,1087.14135,-888.88,-888.88,-888.88,-888.88,24.33675,7045.70405,316.7058,1110.60345,0,5518.4195,-888.88,194.55285,-888.88,7806.011,-888.88,-888.88,-888.88,19.1523,4.94,15.03,-13.71
1995,"12","1995-12",14.214,131.82875,51.52255,26.211,136.39915,-888.88,-888.88,-888.88,-888.88,2.217,599.2483,67.5857,76.14275,0,293.31095,-888.88,15.72265,-888.88,830.726,-888.88,-888.88,-888.88,0.4118,5.54,13.89,6.25
1996,"01","1996-01",173.052,1545.67245,572.5755,333.2991,1377.12105,-888.88,-888.88,-888.88,-888.88,17.3052,7045.74065,1520.7954,986.32885,0,4503.61395,-888.88,236.9097,-888.88,8487.184,-888.88,-888.88,-888.88,15.7417,5.04,15.32,-8.66
1996,"02","1996-02",77.163,693.7422,256.8265,143.59505,648.9267,-888.88,-888.88,-888.88,-888.88,7.7163,3192.10895,568.1833,479.4698,0,1650.4031,-888.88,84.62675,-888.88,3904.859,-888.88,-888.88,-888.88,6.9376,5.05,15.24,-8.15
1996,"03","1996-03",26.579,241.15105,92.1553,50.56725,229.52735,-888.88,-888.88,-888.88,-888.88,2.6579,1108.92455,172.13155,162.55885,0,459.06905,-888.88,22.9504,-888.88,1417.5335,-888.88,-888.88,-888.88,1.4446,5.26,14.68,0.12
1996,"04","1996-04",273.868,1997.49845,657.3275,469.2667,1602.85575,-888.88,-888.88,-888.88,-888.88,27.3868,10369.88855,1774.27905,1524.758,0,10113.34875,-888.88,295.29595,-888.88,9124.813,-888.88,-888.88,-888.88,38.0263,4.86,16.2,-15.39
1996,"05","1996-05",262.388,1699.3632,528.1314,374.3052,1320.2294,-888.88,-888.88,-888.88,-888.88,36.9884,9409.4724,742.2938,1146.3148,0,9600.8246,-888.88,239.278,-888.88,7785.342,-888.88,-888.88,-888.88,50.3845,4.72,14.45,-19.32
1996,"06","1996-06",60.271,470.88325,165.4475,87.8043,448.0339,-888.88,-888.88,-888.88,-888.88,8.2938,2359.37345,30.017,208.40795,0,2093.17985,-888.88,68.0618,268.28507013525,2846.69,-888.88,-888.88,-888.88,5.3143,5.05,13.87,-6.83
1996,"07","1996-07",160.03,1179.5819,388.2648,164.47875,1036.8669,-888.88,-888.88,-888.88,-888.88,16.003,6144.83105,16.2367,417.0291,0,6798.03515,-888.88,195.2103,733.39030924375,7379.5665,-888.88,-888.88,-888.88,20.9889,4.88,14.55,-10.38
1996,"08","1996-08",8.247,74.874,26.61885,11.8246,86.26035,-888.88,-888.88,-888.88,-888.88,0.8247,350.31645,5.2069,29.3024,0,216.25135,-888.88,9.29735,56.4395530695,532.387,-888.88,-888.88,-888.88,0.2636,5.5,14.41,7.8
1996,"09","1996-09",3.032,31.8647,11.95935,6.5593,44.93325,-888.88,-888.88,-888.88,-888.88,0.37465,127.92285,4.74685,14.03635,0,68.7763,-888.88,2.834,31.39504414875,241.735,-888.88,-888.88,-888.88,0.0146,6.32,16.13,39.68
1996,"10","1996-10",91.078,639.75705,227.63845,339.5648,586.46955,-888.88,-888.88,-888.88,-888.88,9.53865,3505.3979,58.46695,581.7482,6.35035,7234.7874,-888.88,182.4223,438.13053838275,4108.759,-888.88,-888.88,-888.88,24.7878,4.57,18.94,-24.04
1996,"11","1996-11",96.08,784.8404,283.0477,193.08515,713.5779,-888.88,-888.88,-888.88,-888.88,10.2285,3941.4973,99.0891,599.17095,0,3196.7797,-888.88,90.73285,497.615938925,4709.5125,-888.88,-888.88,-888.88,9.018,5.03,14.3,-14.63
1996,"12","1996-12",162.352,1180.5868,398.57585,301.34015,1001.3866,-888.88,-888.88,-888.88,-888.88,32.4704,5849.2141,569.07735,792.10695,0,6842.1573,-888.88,223.0308,786.93481482875,6141.3825,-888.88,-888.88,-888.88,25.5997,4.8,15.03,-19.17
1997,"01","1997-01",25.427,211.51355,79.01695,43.83845,195.48445,-888.88,-888.88,-888.88,-888.88,4.6699,1004.65935,112.38595,113.16025,0,647.86375,-888.88,36.1076,169.295717912,1208.612,-888.88,-888.88,-888.88,1.6947,5.18,13.62,-5.46
1997,"02","1997-02",29.24,250.3215,97.5755,52.64205,237.72705,-888.88,-888.88,-888.88,-888.88,3.1529,1157.2648,164.0011,127.02895,0,728.16765,-888.88,36.161475,192.65938650175,1497.019,-888.88,-888.88,-888.88,2.0109,5.16,14.01,0.41
1997,"03","1997-03",50.561,432.5277,164.34835,91.6339,378.9261,-888.88,-888.88,-888.88,-888.88,5.0561,2018.74945,304.5704,213.4958,0,1324.888,-888.88,64.68715,265.72321195175,2408.9485,-888.88,-888.88,-888.88,4.1946,5.08,14.2,-2.84
1997,"04","1997-04",157.382,1198.1685,410.994,249.00855,953.22055,-888.88,-888.88,-888.88,-888.88,15.7382,6145.6473,950.75635,536.41425,0,4934.22655,-888.88,166.71575,777.17047054775,6145.8665,-888.88,-888.88,-888.88,20.3753,4.89,14.59,-2.99
1997,"05","1997-05",267.136,1710.5268,545.7144,361.1151,1331.8674,-888.88,-888.88,-888.88,-888.88,32.5894,9670.9558,821.3911,614.87495,0,10209.381,-888.88,211.6359,1332.288048481,8441.597,-888.88,-888.88,-888.88,44.0982,4.78,14.41,-12.83
1997,"06","1997-06",27.98,226.1003,80.5583,50.38375,235.81075,-888.88,-888.88,-888.88,-888.88,8.8915,1081.07415,37.4813,85.53465,0,785.8864,-888.88,27.3904,129.2239991705,1458.725,-888.88,-888.88,-888.88,1.2332,5.36,13.29,-0.33
1997,"07","1997-07",71.909,602.18745,209.9634,108.56385,615.57805,-888.88,-888.88,-888.88,-888.88,10.36525,2765.7216,48.7854,215.70035,0.02795,2127.0207,-888.88,55.0119,456.42760362375,4239.5115,-888.88,-888.88,-888.88,3.4162,5.32,13.52,-6.32
1997,"08","1997-08",25.01,215.4892,78.6023,33.32835,238.0158,-888.88,-888.88,-888.88,-888.88,2.8407,1004.21425,14.62715,78.49005,1.2145,563.384,-888.88,25.4364,156.50090043025,1616.4665,-888.88,-888.88,-888.88,0.9531,5.42,13.67,0.24
