method,estimate,n
pw,0.12422366817703549,192
beale,0.11417728772467418,192
rating,0.12012344182707071,192
composite,0.1224456105341644,192
pw,0.1306735774788484,192
beale,0.1280472311695843,192
rating,0.11848672836441113,192
composite,0.11953294913608019,192
pw,0.12379421542547536,192
beale,0.10621383620379016,192
rating,0.11941148111958229,192
composite,0.124472810743025,192
pw,0.12099953683950293,192
beale,0.1058768025437372,192
rating,0.10790595728248546,192
composite,0.11344498674416338,192
pw,0.13788078408438154,192
beale,0.11683961251798593,192
rating,0.12020051857251919,192
composite,0.12128155831908037,192
pw,0.1306735774788484,192
beale,0.1280472311695843,192
rating,0.11848672836441113,192
composite,0.11953294913608019,192
pw,0.12435860321670315,192
beale,0.11992123371729817,192
rating,0.11678840833585773,192
composite,0.11819512915973365,192
pw,0.12523025760604548,192
beale,0.07353181337575067,192
rating,0.1141265085976875,192
composite,0.11677772991891262,192
pw,0.12190622129862641,192
beale,0.1011815961285885,192
rating,0.11944797578338628,192
composite,0.12489912759225297,192
pw,0.12414386745438918,192
beale,0.1193393981866509,192
rating,0.11804861208680183,192
composite,0.12053470338437451,192
pw,0.12523025760604548,192
beale,0.07353181337575067,192
rating,0.1141265085976875,192
composite,0.11677772991891262,192
pw,0.12889588530959334,192
beale,0.09596293596195735,192
rating,0.11896451232318322,192
composite,0.12214637668892862,192
pw,0.135761405406955,192
beale,0.13211884092746928,192
rating,0.12280789310162757,192
composite,0.12559830514745818,192
pw,0.14358322541068938,192
beale,0.120097749471799,192
rating,0.12966726180699553,192
composite,0.13324903130216847,192
pw,0.12406422730893067,192
beale,0.08960873420586232,192
rating,0.1150729113520346,192
composite,0.1176417286970416,192
pw,0.1307987912470409,192
beale,0.12673227367689294,192
rating,0.12442817733225783,192
composite,0.12669569326740632,192
pw,0.12888290580302822,192
beale,0.11472986586393909,192
rating,0.11418876593501802,192
composite,0.12713473423462893,192
pw,0.13399281628509754,192
beale,0.11889581251043152,192
rating,0.11339127908164578,192
composite,0.11986491449670494,192
pw,0.13270546060999452,192
beale,0.1310369827431244,192
rating,0.1115974398249166,192
composite,0.11928827324870002,192
pw,0.11938664214940907,192
beale,0.1145648949864658,192
rating,0.11992747291950992,192
composite,0.11945740010294786,192
pw,0.13906608010303265,192
beale,0.1469051748780701,192
rating,0.1347650974751791,192
composite,0.13511637036306304,192
pw,0.12561748633482367,192
beale,0.1225784031895592,192
rating,0.12215955267158041,192
composite,0.12210740732591709,192
pw,0.12054979168787772,192
beale,0.11009612846743633,192
rating,0.10807365613063101,192
composite,0.11143216310176776,192
pw,0.13127855655186588,192
beale,0.11093912580043126,192
rating,0.12133731442892241,192
composite,0.1229762556618163,192
pw,0.12604602921594324,192
beale,0.11135871365918801,192
rating,0.12048878476847592,192
composite,0.1258811412250082,192
pw,0.12709450405624428,192
beale,0.12076189680195788,192
rating,0.126588542425369,192
composite,0.125986987115546,192
pw,0.11909081177078437,192
beale,0.11954178342742752,192
rating,0.11859568656028309,192
composite,0.11904714016838866,192
pw,0.1439687247440587,192
beale,0.139906314305815,192
rating,0.11121542959320097,192
composite,0.11909263104308791,192
pw,0.12071954451202413,192
beale,0.11897171851366826,192
rating,0.11855179860605637,192
composite,0.1194632485754724,192
pw,0.13053974955374165,192
beale,0.12663464622132908,192
rating,0.1199611507208361,192
composite,0.1183474498611849,192
pw,0.12696353791689638,192
beale,0.12850591156402635,192
rating,0.12426729857484714,192
composite,0.12180649718727103,192
pw,0.13332298234381568,192
beale,0.10885619443065013,192
rating,0.11702303826344146,192
composite,0.11897172192122842,192
pw,0.1259850082789783,192
beale,0.11645437285807152,192
rating,0.11755106006311251,192
composite,0.12202310914387575,192
pw,0.12888290580302822,192
beale,0.11472986586393909,192
rating,0.11418876593501802,192
composite,0.12713473423462893,192
pw,0.12523025760604548,192
beale,0.07353181337575067,192
rating,0.1141265085976875,192
composite,0.11677772991891262,192
pw,0.15232152485221576,192
beale,0.1498046761337295,192
rating,0.13177504384420324,192
composite,0.13294630009950678,192
pw,0.12099953683950293,192
beale,0.1058768025437372,192
rating,0.10790595728248546,192
composite,0.11344498674416338,192
pw,0.12099953683950293,192
beale,0.1058768025437372,192
rating,0.10790595728248546,192
composite,0.11344498674416338,192
pw,0.12697129456334563,192
beale,0.11264747412773468,192
rating,0.1190880649571187,192
composite,0.11639865549892742,192
pw,0.12499727951897044,192
beale,0.12255237849224115,192
rating,0.12083349047692957,192
composite,0.1206284767580444,192
pw,0.1354504669708456,192
beale,0.10120002892801848,192
rating,0.10786235251102609,192
composite,0.11454293561610823,192
pw,0.13307767573361237,192
beale,0.11962540585534509,192
rating,0.1196356506592747,192
composite,0.12338339932359915,192
pw,0.14680801926524997,192
beale,0.13460795510287277,192
rating,0.1208801753743487,192
composite,0.12485991811976706,192
pw,0.1340846991787453,192
beale,0.1165447866808079,192
rating,0.11508664904531501,192
composite,0.12356788031861021,192
pw,0.14169425136326563,192
beale,0.12185191091611243,192
rating,0.11884206794716425,192
composite,0.1268670975151116,192
pw,0.14510596452413685,192
beale,0.1403446242329801,192
rating,0.11928598451226981,192
composite,0.12871087138858622,192
pw,0.11826562999996174,192
beale,0.08550199926491917,192
rating,0.11701897518861441,192
composite,0.1208114631552986,192
pw,0.14506117413495662,192
beale,0.13432295306331468,192
rating,0.12875737501948076,192
composite,0.13079616390115303,192
pw,0.12660337228449994,192
beale,0.11807726472481003,192
rating,0.11812834028508164,192
composite,0.12072165264010129,192
pw,0.1387537670972551,192
beale,0.1328831151995954,192
rating,0.12155673003200383,192
composite,0.12447046722785887,192
pw,0.1321413628481602,192
beale,0.12276592254713667,192
rating,0.11766517181340584,192
composite,0.12253790516549953,192
pw,0.13466353756665986,192
beale,0.12430439193992285,192
rating,0.11905303692370969,192
composite,0.12265306586767384,192
pw,0.1325644418346265,192
beale,0.1271145241623401,192
rating,0.11467352414817446,192
composite,0.11705515762132905,192
pw,0.1486107603310915,192
beale,0.1406651131108184,192
rating,0.1232294917026798,192
composite,0.13287684502764208,192
pw,0.11986793753431325,192
beale,0.11949785721836079,192
rating,0.11945684865035358,192
composite,0.1208849733334547,192
pw,0.13248803623362257,192
beale,0.1207545631585838,192
rating,0.12412126770829032,192
composite,0.1265877978887744,192
pw,0.1325661275207747,192
beale,0.1258313543092628,192
rating,0.11899611868974286,192
composite,0.1221439844515986,192
pw,0.12414386745438918,192
beale,0.1193393981866509,192
rating,0.11804861208680183,192
composite,0.12053470338437451,192
pw,0.1353103727144332,192
beale,0.12830810538051132,192
rating,0.12406092166379686,192
composite,0.1312626937044113,192
pw,0.12406422730893067,192
beale,0.08960873420586232,192
rating,0.1150729113520346,192
composite,0.1176417286970416,192
pw,0.13787138466704968,192
beale,0.14454417819731666,192
rating,0.13867764529625348,192
composite,0.1364598790976182,192
pw,0.12425667625734224,192
beale,0.12156763364498269,192
rating,0.11915969565354498,192
composite,0.12080946359826926,192
pw,0.13116539017506806,192
beale,0.1307121538834728,192
rating,0.12850894183047765,192
composite,0.13475899744867725,192
pw,0.1321413628481602,192
beale,0.12276592254713667,192
rating,0.11766517181340584,192
composite,0.12253790516549953,192
pw,0.13213693553337602,192
beale,0.12047008785940751,192
rating,0.11975121649111521,192
composite,0.12233968335366938,192
pw,0.13912272903778397,192
beale,0.12696943789167373,192
rating,0.12766290635437266,192
composite,0.1302040136835188,192
pw,0.13290484129813407,192
beale,0.11502815409675451,192
rating,0.11912429912740365,192
composite,0.12254260179357276,192
pw,0.13332298234381568,192
beale,0.10885619443065013,192
rating,0.11702303826344146,192
composite,0.11897172192122842,192
pw,0.12384453870467961,192
beale,0.11738839684910249,192
rating,0.11907399032846826,192
composite,0.12095756392357536,192
pw,0.12396339380631166,192
beale,0.12390152660439124,192
rating,0.1215171828900268,192
composite,0.12215289526713499,192
pw,0.13894559691512473,192
beale,0.14334301263447058,192
rating,0.13254534196946618,192
composite,0.13181614689977128,192
pw,0.13328040057857338,192
beale,0.1295891133022129,192
rating,0.11446731715362786,192
composite,0.12031353724916043,192
pw,0.1325661275207747,192
