method,estimate,n
pw,0.043309698179385334,192
beale,0.030869150115971866,192
rating,0.029250388577865705,192
composite,0.03911027278507261,192
pw,0.04704897154780209,192
beale,0.043233770091723106,192
rating,0.04532255458404534,192
composite,0.04991775871493834,192
pw,0.041415915450576636,192
beale,0.03646429413210027,192
rating,0.03263736921322865,192
composite,0.03956363558023409,192
pw,0.04052094578166722,192
beale,0.0400694426550463,192
rating,0.039786056542775505,192
composite,0.04329598519331171,192
pw,0.04357328967721884,192
beale,0.02442567174415093,192
rating,0.03015968398955073,192
composite,0.037033938921580085,192
pw,0.047743472634556555,192
beale,0.03102486606075676,192
rating,0.03763138035899363,192
composite,0.043299911442832115,192
pw,0.04169650207984079,192
beale,0.03414099382519793,192
rating,0.029387864082273854,192
composite,0.038760752451630444,192
pw,0.048609512697532664,192
beale,0.053080214912947635,192
rating,0.052200082329082596,192
composite,0.05278963423086912,192
pw,0.03359443553583822,192
beale,0.031104221362363463,192
rating,0.030579206308497944,192
composite,0.035690192065243515,192
pw,0.04137627111425995,192
beale,0.02861565716731102,192
rating,0.026112927454294572,192
composite,0.035044051199961075,192
pw,0.04150428073336665,192
beale,0.04074509609247482,192
rating,0.037339532395958434,192
composite,0.04162379957033636,192
pw,0.04252603102651202,192
beale,0.03804941462286405,192
rating,0.029954044164091764,192
composite,0.039348131542478355,192
pw,0.04409244545892354,192
beale,0.04470440597026935,192
rating,0.03845121418524318,192
composite,0.044776692800376466,192
pw,0.04191991828517078,192
beale,0.03747540588532726,192
rating,0.032014598059986556,192
composite,0.039958508108833814,192
pw,0.039328098145622235,192
beale,0.03374929226216149,192
rating,0.032002227951501566,192
composite,0.0390873173946677,192
pw,0.04307894512642977,192
beale,0.04821598000170459,192
rating,0.048456485579444236,192
composite,0.051333686666890525,192
pw,0.039106587759808485,192
beale,0.03897381785430947,192
rating,0.03610881510037732,192
composite,0.039378418574875056,192
pw,0.046257794785945085,192
beale,0.03261757022079348,192
rating,0.02640437688533873,192
composite,0.03598443650358906,192
pw,0.042254119417841664,192
beale,0.03938455544973735,192
rating,0.03554877654106615,192
composite,0.04169323807917412,192
pw,0.04097129119437618,192
beale,0.0374173916691517,192
rating,0.03383221272856724,192
composite,0.040460301637564644,192
pw,0.04644438149917377,192
beale,0.04974021424385531,192
rating,0.04273700043417379,192
composite,0.04794195534410495,192
pw,0.03811139762403358,192
beale,0.027725032432992437,192
rating,0.025737124409184464,192
composite,0.03609284053114408,192
pw,0.04315603797260714,192
beale,0.041959818346402444,192
rating,0.03444178901431894,192
composite,0.0442184428758597,192
pw,0.03875817052004694,192
beale,0.03790968139475133,192
rating,0.034448624074815394,192
composite,0.03897322854393031,192
pw,0.04315603797260714,192
beale,0.041959818346402444,192
rating,0.03444178901431894,192
composite,0.0442184428758597,192
pw,0.040322758311590455,192
beale,0.02202666971564944,192
rating,0.2496284930454205,192
composite,0.20885222800287473,192
pw,0.04220051782571816,192
beale,0.037276006560138436,192
rating,0.0366763301660496,192
composite,0.04505576908089561,192
pw,0.035997827010945095,192
beale,0.030894497782017583,192
rating,0.033048962133646116,192
composite,0.03739803793686293,192
pw,0.039106587759808485,192
beale,0.03897381785430947,192
rating,0.03610881510037732,192
composite,0.039378418574875056,192
pw,0.038792816531996524,192
beale,0.03614311869150688,192
rating,0.035463946545308975,192
composite,0.03877087594795719,192
pw,0.04323204683374724,192
beale,0.04208684700325258,192
rating,0.036391447773907966,192
composite,0.042841506294263275,192
pw,0.04191991828517078,192
beale,0.03747540588532726,192
rating,0.032014598059986556,192
composite,0.039958508108833814,192
pw,0.042467221583315236,192
beale,0.03792290327419739,192
rating,0.03081495902912404,192
composite,0.03882478886981337,192
pw,0.04019369445599706,192
beale,0.02903163977974376,192
rating,0.030334813656018974,192
composite,0.03371853928643951,192
pw,0.038372594506559415,192
beale,0.03763299345751169,192
rating,0.03385981625511903,192
composite,0.038741533893386325,192
pw,0.04863196820123861,192
beale,0.044429785599282026,192
rating,0.035868562943525986,192
composite,0.04274130917739111,192
pw,0.040167717473006445,192
beale,0.036211492064841914,192
rating,0.03205804078213692,192
composite,0.04040259874667666,192
pw,0.03501281258236093,192
beale,0.03393482756532461,192
rating,0.030849159874807314,192
composite,0.036179421845730565,192
pw,0.03862372946639956,192
beale,0.03761959920151834,192
rating,0.033577874918144644,192
composite,0.03873312715227693,192
pw,0.042307393784364614,192
beale,0.040244376820250935,192
rating,0.030297479168269085,192
composite,0.041343720406438564,192
pw,0.04175957511881479,192
beale,0.03650678925234375,192
rating,0.03322047686630865,192
composite,0.04144354671559374,192
pw,0.040376167687673666,192
beale,0.04513929480995023,192
rating,0.030971081232111973,192
composite,0.04197314780846692,192
pw,0.03788003594039789,192
beale,0.02787838751121683,192
rating,0.03489445980230706,192
composite,0.03788885807289509,192
pw,0.041415915450576636,192
beale,0.03646429413210027,192
rating,0.03263736921322865,192
composite,0.03956363558023409,192
pw,0.04176774990746144,192
beale,0.037097440874788716,192
rating,0.03486140097834641,192
composite,0.042988180973779586,192
pw,0.04583843317354283,192
beale,0.041053236925466745,192
rating,0.03943615111241224,192
composite,0.044794684514800204,192
pw,0.04339267744123222,192
beale,0.03749040382592575,192
rating,0.03843941987302753,192
composite,0.04247743495834814,192
pw,0.04289475902435281,192
beale,0.03775363963766755,192
rating,0.03178759182031127,192
composite,0.036922506124536875,192
pw,0.04307894512642977,192
beale,0.04821598000170459,192
rating,0.048456485579444236,192
composite,0.051333686666890525,192
pw,0.038312858211243625,192
beale,0.036747974664015075,192
rating,0.034870825655955395,192
composite,0.039440233073009714,192
pw,0.04121869880008018,192
beale,0.03259700537858128,192
rating,0.03501549007782475,192
composite,0.039930599587556195,192
pw,0.039131658640759445,192
beale,0.03641276771310756,192
rating,0.033244324613373975,192
composite,0.03818340871450267,192
pw,0.04121962514469634,192
beale,0.03817042170813433,192
rating,0.032580151837503915,192
composite,0.04093464242542977,192
pw,0.039802695176540406,192
beale,0.038879683807575546,192
rating,0.03529874113783088,192
composite,0.04008954665190648,192
pw,0.04263798279014109,192
beale,0.03433974718673456,192
rating,0.03222284009065425,192
composite,0.04123881534396382,192
pw,0.040003805746685106,192
beale,0.04112720845737683,192
rating,0.035703150831907705,192
composite,0.04006178920649292,192
pw,0.04175957511881479,192
beale,0.03650678925234375,192
rating,0.03322047686630865,192
composite,0.04144354671559374,192
pw,0.0413325609958972,192
beale,0.03688967603855214,192
rating,0.03248267852054408,192
composite,0.04051531515500326,192
pw,0.047743472634556555,192
beale,0.03102486606075676,192
rating,0.03763138035899363,192
composite,0.043299911442832115,192
pw,0.040213751352378244,192
beale,0.02955682603977485,192
rating,0.029576412577505557,192
composite,0.037485138015128205,192
pw,0.04052094578166722,192
beale,0.0400694426550463,192
rating,0.039786056542775505,192
composite,0.04329598519331171,192
pw,0.04583843317354283,192
beale,0.041053236925466745,192
rating,0.03943615111241224,192
composite,0.044794684514800204,192
pw,0.04326487205610484,192
beale,0.04159417742872264,192
rating,0.037297206074526024,192
composite,0.04338619966068263,192
pw,0.04421323113079812,192
beale,0.040421757265410134,192
rating,0.03651701977553014,192
composite,0.04474166187112974,192
pw,0.04326573021723449,192
beale,0.04312529709786471,192
rating,0.039431942118899894,192
composite,0.04425392969153596,192
pw,0.04152232436076543,192
beale,0.03526461725286239,192
rating,0.03207192017963571,192
composite,0.04026141464212783,192
pw,0.04169650207984079,192
beale,0.03414099382519793,192
rating,0.029387864082273854,192
composite,0.038760752451630444,192
pw,0.03896239597953889,192
beale,0.03718933720406919,192
rating,0.03364979269424111,192
composite,0.03905538136990051,192
pw,0.04339267744123222,192
beale,0.03749040382592575,192
rating,0.03843941987302753,192
composite,0.04247743495834814,192
pw,0.03788003594039789,192
beale,0.02787838751121683,192
rating,0.03489445980230706,192
composite,0.03788885807289509,192
pw,0.044883998992783204,192
beale,0.04942827997690921,192
rating,0.04410750705273738,192
composite,0.046722991929084676,192
pw,0.04154795703095772,192
beale,0.0389502875999805,192
rating,0.03670368604441878,192
composite,0.03971909957401599,192
pw,0.04485310121038789,192
beale,0.04615878375376887,192
rating,0.04123057386001601,192
composite,0.047512678155657906,192
pw,0.04154564664808503,192
beale,0.03515621125901363,192
rating,0.0324637267324254,192
composite,0.039487624829254594,192
pw,0.03922794853784658,192
beale,0.036177296027467686,192
rating,0.033872381737563455,192
composite,0.0397266232784278,192
pw,0.041415915450576636,192
beale,0.03646429413210027,192
rating,0.03263736921322865,192
composite,0.03956363558023409,192
pw,0.03741086666143681,192
beale,0.03085699535719161,192
rating,0.03139574607791655,192
composite,0.03555181615001107,192
pw,0.04315768867290748,192
beale,0.035496455578081225,192
rating,0.03486758504657987,192
composite,0.04029290458041582,192
pw,0.040322758311590455,192
beale,0.02202666971564944,192
rating,0.2496284930454205,192
composite,0.20885222800287473,192
pw,0.039106587759808485,192
beale,0.03897381785430947,192
rating,0.03610881510037732,192
composite,0.039378418574875056,192
pw,0.04072349024236464,192
beale,0.03966285305564811,192
rating,0.034900487616607294,192
composite,0.04063303508435553,192
pw,0.045092815658317804,192
beale,0.045286617593145874,192
