id,Unique Code,Site,date_time,Volume-weighted mean sampling time,Precip sampling starts,Precip sampling ends,Yr,Month,Day,dayno,Time,Date,Year,Year_mean_sampling,water flux mm/hr,log_flow,Conductivity uS/cm,pH,Gran alkalinity uEq/l,DOC mg/l,NO3-N mg/l,NO2-N mg/l,NH4-N mg/l,TDN mg/l,DON mg/l,F mg/l,SO4 mg/l,SO4_by_ICP mg/l,Cl mg/l,Br ug/l,I ug/l,Li ug/l,Be ug/l,B ug/l,Na mg/l,Mg mg/l,Al ug/l,Si mg/l,S mg/l,K mg/l,Ca mg/l,Sc ug/l,Ti ug/l,V ug/l,Cr ug/l,Mn ug/l,Fe ug/l,Co ug/l,Ni ug/l,Cu ug/l,Zn ug/l,As ug/l,Se ug/l,Rb ug/l,Sr ug/l,Mo ug/l,Cd ug/l,Sn ug/l,Sb ug/l,Cs ug/l,Ba ug/l,La ug/l,Ce ug/l,Pr ug/l,W ug/l,Pb ug/l,U ug/l,Flow cumecs,Flow mm/15min,Rainfall mm,Day_of_week,Trip,Comments,Conductivity uS/cm RDA,pH RDA,Gran alkalinity uEq/l RDA,DOC mg/l RDA,NO3-N mg/l RDA,NO2-N mg/l RDA,NH4-N mg/l RDA,TDN mg/l RDA,F mg/l RDA,SO4 mg/l RDA,Cl mg/l RDA,Br ug/l RDA,I ug/l RDA,Li ug/l RDA,Be ug/l RDA,B ug/l RDA,Na mg/l RDA,Mg mg/l RDA,Al ug/l RDA,Si mg/l RDA,S mg/l RDA,K mg/l RDA,Ca mg/l RDA,Sc ug/l RDA,Ti ug/l RDA,V ug/l RDA,Cr ug/l RDA,Mn ug/l RDA,Fe ug/l RDA,Co ug/l RDA,Ni ug/l RDA,Cu ug/l RDA,Zn ug/l RDA,As ug/l RDA,Se ug/l RDA,Rb ug/l RDA,Sr ug/l RDA,Mo ug/l RDA,Cd ug/l RDA,Sn ug/l RDA,Sb ug/l RDA,Cs ug/l RDA,Ba ug/l RDA,La ug/l RDA,Ce ug/l RDA,Pr ug/l RDA,W ug/l RDA,Pb ug/l RDA,U ug/l RDA,Flow Cumecs RDA,Flow mm/15min RDA,Rainfall mm RDA,30 ml ISO,Blue Schott/pH bottle,Brown/anion bottle,Plastic Nalgene/cation bottle,FileA,FileC,FileP,FileCA,CodeW
1,CR1,CR,2007/03/06 19:00,2007/03/06 21:22,2007/03/06 19:00,2007/03/07 02:00,2007,3,6,65.7916667,7:00 PM,2007/03/06,2007.177511,2007.177783,0.57142857,-0.243038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Tuesday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,no,no,no,,,,,
2,CR2,CR,2007/03/07 02:00,2007/03/07 05:30,2007/03/07 02:00,2007/03/07 09:00,2007,3,7,66.0833333,2:00 AM,2007/03/07,2007.178311,2007.17871,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Wednesday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
3,CR3,CR,2007/03/07 09:00,2007/03/07 12:30,2007/03/07 09:00,2007/03/07 16:00,2007,3,7,66.375,9:00 AM,2007/03/07,2007.17911,2007.179509,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Wednesday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
4,CR4,CR,2007/03/07 16:00,2007/03/07 19:30,2007/03/07 16:00,2007/03/07 23:00,2007,3,7,66.6666667,4:00 PM,2007/03/07,2007.179909,2007.180308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Wednesday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
5,CR5,CR,2007/03/07 23:00,2007/03/08 01:00,2007/03/07 23:00,2007/03/08 06:00,2007,3,7,66.9583333,11:00 PM,2007/03/07,2007.180708,2007.180936,0.42857143,-0.3679768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Wednesday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,no,no,no,,,,,
6,CR6,CR,2007/03/08 06:00,2007/03/08 09:30,2007/03/08 06:00,2007/03/08 13:00,2007,3,8,67.25,6:00 AM,2007/03/08,2007.181507,2007.181906,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Thursday,1,none,,,,1.26,0.35828138,0.02521646,,,0.03702962,1.19321309,5.40774164,13.61738,,,0.009,,,,82.9,,,,,0.039,0.826,0.366,6.38,13.7,32.4,1.1,2.68,19.9,882,0.864,0.326,0.775,12.4,5.37,26.6,0.352,0.972,0.024,86.6,0.056,0.056,0.006,,22.4,0.002,,,0,,no,no,1/6 full,,EE215,,,CR1
7,CR7,CR,2007/03/08 13:00,2007/03/08 17:50,2007/03/08 13:00,2007/03/08 20:00,2007,3,8,67.5416667,1:00 PM,2007/03/08,2007.182306,2007.182858,0.85714286,-0.0669468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Thursday,1,none,,,,8.45,0.28411786,0.13325355,,,0.05921408,1.70857292,16.9933402,27.80066,,,0.004,27.7,2.04,0.2,24.9,,0.394,0.26,0.78,0.011,0.246,0.373,7.27,4.58,40.7,0.246,0.61,8.89,94.9,0.373,0.174,0.18,4.64,0.482,12,0.193,0.388,0.002,101,0.059,0.054,0.006,,77,0.002,,,6,,no,no,no,,EE215,,EE215A,CR2
8,CR8,CR,2007/03/08 20:00,2007/03/08 21:00,2007/03/08 20:00,2007/03/09 03:00,2007,3,8,67.8333333,8:00 PM,2007/03/08,2007.183105,2007.183219,0.57142857,-0.243038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Thursday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,no,no,no,,,,,
9,CR9,CR,2007/03/09 03:00,2007/03/09 06:30,2007/03/09 03:00,2007/03/09 10:00,2007,3,9,68.125,3:00 AM,2007/03/09,2007.183904,2007.184304,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Friday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
10,CR10,CR,2007/03/09 10:00,2007/03/09 13:30,2007/03/09 10:00,2007/03/09 17:00,2007,3,9,68.4166667,10:00 AM,2007/03/09,2007.184703,2007.185103,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Friday,1,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,no,no,no,,,,,
