method,estimate,flow,cq,runid
pw,25.416921167283107,base,broken_dilution,100
beale,25.22877614000278,base,broken_dilution,100
rating,24.759314482179068,base,broken_dilution,100
composite,25.081029049778014,base,broken_dilution,100
truth,23.643916772320196,base,broken_dilution,100
pw,25.25550729204294,storm,broken_dilution,100
beale,24.826161478018182,storm,broken_dilution,100
rating,23.347557593925753,storm,broken_dilution,100
composite,23.889507664625818,storm,broken_dilution,100
truth,19.204207777600296,storm,broken_dilution,100
pw,25.373785154037193,unaltered,broken_dilution,100
beale,25.156674937926702,unaltered,broken_dilution,100
rating,24.526755129984036,unaltered,broken_dilution,100
composite,24.905728346484405,unaltered,broken_dilution,100
truth,23.09971376496091,unaltered,broken_dilution,100
pw,121.51997019104047,base,enrich,100
beale,122.92935350052007,base,enrich,100
rating,138.56444386482855,base,enrich,100
composite,140.9724463931793,base,enrich,100
truth,140.04078982003819,base,enrich,100
pw,124.6523955188326,storm,enrich,100
beale,128.71845342359472,storm,enrich,100
rating,166.73365966361473,storm,enrich,100
composite,172.06866202181408,storm,enrich,100
truth,180.6236543835566,storm,enrich,100
pw,122.25544007296327,unaltered,enrich,100
beale,123.91323913342981,unaltered,enrich,100
rating,143.68951164772733,unaltered,enrich,100
composite,146.57967797740363,unaltered,enrich,100
truth,145.68600330614188,unaltered,enrich,100
pw,13.117165244184896,base,none,100
beale,12.783947556228242,base,none,100
rating,11.954616069696028,base,none,100
composite,12.32245011250304,base,none,100
truth,13.316138107617373,base,none,100
pw,13.319503560440776,storm,none,100
beale,12.01948659353639,storm,none,100
rating,9.962765263447045,storm,none,100
composite,10.759655237632442,storm,none,100
truth,13.243929608003238,storm,none,100
pw,13.118000590778445,unaltered,none,100
beale,12.67197705595671,unaltered,none,100
rating,11.644385061407494,unaltered,none,100
composite,12.074269393705626,unaltered,none,100
truth,13.3147082467331,unaltered,none,100
pw,13.277049091375039,base,chemostatic,100
beale,13.25259321616244,base,chemostatic,100
rating,13.100659815171184,base,chemostatic,100
composite,13.207938416832235,base,chemostatic,100
truth,13.316138107617373,base,chemostatic,100
pw,13.291742312709111,storm,chemostatic,100
beale,13.204839621489059,storm,chemostatic,100
rating,12.81495854091316,storm,chemostatic,100
composite,12.99543304708917,storm,chemostatic,100
truth,13.295100594653968,storm,chemostatic,100
pw,13.267687600067696,unaltered,chemostatic,100
beale,13.235943936605741,unaltered,chemostatic,100
rating,13.0407794262106,unaltered,chemostatic,100
composite,13.164314208670328,unaltered,chemostatic,100
truth,13.311526922028264,unaltered,chemostatic,100
pw,25.453939897304974,base,broken_dilution,99
beale,25.45107298679366,base,broken_dilution,99
rating,25.156866518006712,base,broken_dilution,99
composite,25.24082031419883,base,broken_dilution,99
truth,23.643130726713334,base,broken_dilution,99
pw,25.364038716255983,storm,broken_dilution,99
beale,25.300796279110124,storm,broken_dilution,99
rating,24.62525100064286,storm,broken_dilution,99
composite,24.664100735713912,storm,broken_dilution,99
truth,19.221626868328816,storm,broken_dilution,99
pw,25.414485696361243,unaltered,broken_dilution,99
beale,25.41330716578599,unaltered,broken_dilution,99
rating,25.04038784608537,unaltered,broken_dilution,99
composite,25.12355825506281,unaltered,broken_dilution,99
truth,23.10169898554934,unaltered,broken_dilution,99
pw,120.59729191448515,base,enrich,99
beale,121.95964941149899,base,enrich,99
rating,141.57472383814374,base,enrich,99
composite,145.07497497448293,base,enrich,99
truth,139.96479433587282,base,enrich,99
pw,125.06322247226163,storm,enrich,99
beale,128.18984463389828,storm,enrich,99
rating,176.4479843652018,storm,enrich,99
composite,185.8009652696219,storm,enrich,99
truth,180.34425867597793,storm,enrich,99
pw,121.5284092192306,unaltered,enrich,99
beale,123.02598861942265,unaltered,enrich,99
rating,147.86278287859122,unaltered,enrich,99
composite,152.3383397510854,unaltered,enrich,99
truth,145.5905483091116,unaltered,enrich,99
pw,13.833159915162877,base,none,99
beale,13.851921655129203,base,none,99
rating,13.330122702109255,base,none,99
composite,13.262876218149604,base,none,99
truth,13.309527032049802,base,none,99
