Flow Regime,C:Q,Frequency,Method,Mean,SD,95% CI,Median,Minimum,Maximum,Outliers
Baseflow,Diluting,Weekly,Beale,11.57,1.66,"8.32, 14.82",11.51,7.82,17.44,3
Baseflow,Diluting,Weekly,Composite,-2.8,1.48,"-5.7, 0.1",-2.82,-6.36,0.83,7
Baseflow,Diluting,Weekly,Linear Interpolation,17.67,1.77,"14.2, 21.14",17.68,13.09,22.7,7
Baseflow,Diluting,Weekly,Rating,-2.98,1.47,"-5.86, -0.1",-3.07,-6.19,1.64,2
Baseflow,Diluting,Biweekly,Beale,14.06,2.6,"8.96, 19.16",13.91,8.49,21.14,1
Baseflow,Diluting,Biweekly,Composite,-2.55,2.36,"-7.18, 2.08",-2.75,-7.58,4,8
Baseflow,Diluting,Biweekly,Linear Interpolation,18.28,3.06,"12.28, 24.28",18.34,11.55,29.65,5
Baseflow,Diluting,Biweekly,Rating,-1.84,2.13,"-6.01, 2.33",-1.55,-6.22,2.58,2
Baseflow,Diluting,Monthly,Beale,26.23,4.22,"17.96, 34.5",26.2,15.96,42.94,14
Baseflow,Diluting,Monthly,Composite,-0.91,3.67,"-8.1, 6.28",-0.92,-10.53,14.97,10
Baseflow,Diluting,Monthly,Linear Interpolation,25.58,4.25,"17.25, 33.91",25.24,16.31,46.24,15
Baseflow,Diluting,Monthly,Rating,1.32,3.38,"-5.3, 7.94",1.12,-6.96,12.27,12
Baseflow,Chemostatic,Weekly,Beale,-0.61,0.71,"-2, 0.78",-0.62,-1.94,0.89,3
Baseflow,Chemostatic,Weekly,Composite,-0.08,0.97,"-1.98, 1.82",-0.02,-2.38,1.91,6
Baseflow,Chemostatic,Weekly,Linear Interpolation,-0.53,0.71,"-1.92, 0.86",-0.51,-2.2,0.9,1
Baseflow,Chemostatic,Weekly,Rating,-0.45,0.91,"-2.23, 1.33",-0.48,-2.28,1.63,0
Baseflow,Chemostatic,Biweekly,Beale,-0.51,1.09,"-2.65, 1.63",-0.54,-3.29,2.53,8
Baseflow,Chemostatic,Biweekly,Composite,-0.05,1.6,"-3.19, 3.09",-0.03,-4.07,3.48,11
Baseflow,Chemostatic,Biweekly,Linear Interpolation,-0.55,1.06,"-2.63, 1.53",-0.64,-3.13,2.68,6
Baseflow,Chemostatic,Biweekly,Rating,-0.33,1.64,"-3.54, 2.88",-0.3,-4.91,3.53,13
Baseflow,Chemostatic,Monthly,Beale,-0.53,1.48,"-3.43, 2.37",-0.38,-3.78,3.25,3
Baseflow,Chemostatic,Monthly,Composite,0.27,2.83,"-5.28, 5.82",0.21,-4.96,6.13,0
Baseflow,Chemostatic,Monthly,Linear Interpolation,-0.54,1.47,"-3.42, 2.34",-0.5,-3.77,3.25,3
Baseflow,Chemostatic,Monthly,Rating,-0.09,2.84,"-5.66, 5.48",-0.33,-5.52,5.82,0
