method,estimate,flow,cq,runid
pw,25.253174798504148,base,broken_dilution,100
beale,25.270414462250418,base,broken_dilution,100
rating,25.169308152262172,base,broken_dilution,100
composite,25.233034352357485,base,broken_dilution,100
truth,24.085922809061262,base,broken_dilution,100
pw,24.99124473912152,storm,broken_dilution,100
beale,25.056945016411717,storm,broken_dilution,100
rating,24.474595798890423,storm,broken_dilution,100
composite,24.433884033756225,storm,broken_dilution,100
truth,19.207693007429402,storm,broken_dilution,100
pw,25.167277510986143,unaltered,broken_dilution,100
beale,25.205209952428437,unaltered,broken_dilution,100
rating,24.999548387007803,unaltered,broken_dilution,100
composite,25.041455155169356,unaltered,broken_dilution,100
truth,23.108279872819267,unaltered,broken_dilution,100
pw,120.87411274036792,base,enrich,100
beale,123.59545635223431,base,enrich,100
rating,135.27651503437272,base,enrich,100
composite,136.80034086478932,base,enrich,100
truth,135.2155487297451,base,enrich,100
pw,127.71429983097286,storm,enrich,100
beale,142.40855519987923,storm,enrich,100
rating,179.55095104747835,storm,enrich,100
composite,183.56189753372323,storm,enrich,100
truth,180.51788781568075,storm,enrich,100
pw,123.32921681144754,unaltered,enrich,100
beale,128.10097152653847,unaltered,enrich,100
rating,146.85393327516414,unaltered,enrich,100
composite,148.85021715532238,unaltered,enrich,100
truth,145.60923843546541,unaltered,enrich,100
pw,12.972497098135788,base,none,100
beale,13.000849657361387,base,none,100
rating,12.525592934721752,base,none,100
composite,12.908580783905514,base,none,100
truth,13.315164331596483,base,none,100
pw,13.115356405467645,storm,none,100
beale,13.192490600798214,storm,none,100
rating,12.612760703852969,storm,none,100
composite,13.128873870933788,storm,none,100
truth,13.270599923067783,storm,none,100
pw,13.002074055847636,unaltered,none,100
beale,13.044625881721673,unaltered,none,100
rating,12.545874138827804,unaltered,none,100
composite,12.947870244507264,unaltered,none,100
truth,13.299891164193724,unaltered,none,100
pw,13.14627021541495,base,chemostatic,100
beale,13.220736482484112,base,chemostatic,100
rating,13.194472512124111,base,chemostatic,100
composite,13.203324518033876,base,chemostatic,100
truth,13.315164331596483,base,chemostatic,100
pw,13.022777339385922,storm,chemostatic,100
beale,13.399304226258094,storm,chemostatic,100
rating,13.108296666949153,storm,chemostatic,100
composite,13.037453612564018,storm,chemostatic,100
truth,13.258749303585686,storm,chemostatic,100
pw,13.107466462641275,unaltered,chemostatic,100
beale,13.242828532413238,unaltered,chemostatic,100
rating,13.172615258445582,unaltered,chemostatic,100
composite,13.158858903810676,unaltered,chemostatic,100
truth,13.300413175566954,unaltered,chemostatic,100
pw,25.455406916489135,base,broken_dilution,99
beale,25.398437906661684,base,broken_dilution,99
rating,25.34524773585637,base,broken_dilution,99
composite,25.43622528062052,base,broken_dilution,99
truth,24.075199445254068,base,broken_dilution,99
pw,25.31996278325628,storm,broken_dilution,99
beale,25.016171759881797,storm,broken_dilution,99
rating,24.869747338387544,storm,broken_dilution,99
composite,24.894712251506334,storm,broken_dilution,99
truth,19.216475954178538,storm,broken_dilution,99
pw,25.406028418037167,unaltered,broken_dilution,99
beale,25.31036993876337,unaltered,broken_dilution,99
rating,25.21493309529412,unaltered,broken_dilution,99
composite,25.298900655513073,unaltered,broken_dilution,99
truth,23.10182847823868,unaltered,broken_dilution,99
pw,119.21666171292645,base,enrich,99
beale,121.87065570067085,base,enrich,99
rating,132.70843070364822,base,enrich,99
composite,133.51547684002503,base,enrich,99
truth,135.253066807492,base,enrich,99
pw,124.92796012801355,storm,enrich,99
beale,139.85511477203409,storm,enrich,99
rating,173.1736912190538,storm,enrich,99
composite,174.95209966428536,storm,enrich,99
truth,180.3989503010564,storm,enrich,99
pw,121.36445808359372,unaltered,enrich,99
beale,126.12689817378822,unaltered,enrich,99
rating,143.26618847970767,unaltered,enrich,99
composite,144.25724609125933,unaltered,enrich,99
truth,145.62154488761487,unaltered,enrich,99
pw,12.844576467613336,base,none,99
beale,13.020166056163522,base,none,99
rating,12.71648492456662,base,none,99
composite,12.941457562398481,base,none,99
truth,13.319494869862938,base,none,99
pw,12.324405796234238,storm,none,99
beale,12.952198511590016,storm,none,99
rating,12.585244557474043,storm,none,99
composite,12.300660106194284,storm,none,99
truth,13.286338896186129,storm,none,99
pw,12.72611093497529,unaltered,none,99
beale,12.994084974514283,unaltered,none,99
rating,12.687963639749732,unaltered,none,99
composite,12.801418070160514,unaltered,none,99
truth,13.29729923669223,unaltered,none,99
pw,13.237794865012402,base,chemostatic,99
beale,13.237086812560383,base,chemostatic,99
rating,13.281998587553339,base,chemostatic,99
composite,13.328119040321008,base,chemostatic,99
truth,13.319494869862938,base,chemostatic,99
pw,13.215927170039174,storm,chemostatic,99
beale,13.205640877626267,storm,chemostatic,99
rating,13.308267586551105,storm,chemostatic,99
composite,13.368773926555184,storm,chemostatic,99
truth,13.289323446591846,storm,chemostatic,99
pw,13.22314380784106,unaltered,chemostatic,99
beale,13.22749335939365,unaltered,chemostatic,99
rating,13.287496606986343,unaltered,chemostatic,99
composite,13.330134303694086,unaltered,chemostatic,99
truth,13.309667464604683,unaltered,chemostatic,99
pw,25.18410221919736,base,broken_dilution,98
beale,25.018144479222045,base,broken_dilution,98
rating,24.910191198261113,base,broken_dilution,98
composite,25.033451681916844,base,broken_dilution,98
truth,24.06926771635398,base,broken_dilution,98
pw,25.07040462659831,storm,broken_dilution,98
beale,24.164375222701082,storm,broken_dilution,98
rating,24.084904313883353,storm,broken_dilution,98
composite,24.26929195519909,storm,broken_dilution,98
truth,19.211493259209668,storm,broken_dilution,98
pw,25.13200532537926,unaltered,broken_dilution,98
