method,estimate,flow,cq,runid
pw,12.695425136104909,base,broken_dilution,100
beale,12.006437410477657,base,broken_dilution,100
rating,10.363760833361793,base,broken_dilution,100
composite,10.437433473267214,base,broken_dilution,100
truth,10.672492180420932,base,broken_dilution,100
pw,32.26327346920615,storm,broken_dilution,100
beale,22.58299025889287,storm,broken_dilution,100
rating,10.97922601336712,storm,broken_dilution,100
composite,10.78209107035235,storm,broken_dilution,100
truth,15.711069272306684,storm,broken_dilution,100
pw,13.875089716696065,unaltered,broken_dilution,100
beale,12.862837150763346,unaltered,broken_dilution,100
rating,10.459162841795143,unaltered,broken_dilution,100
composite,10.582474873901763,unaltered,broken_dilution,100
truth,11.666898698962731,unaltered,broken_dilution,100
pw,4.565837003259411,base,enrich,100
beale,5.123613486356503,base,enrich,100
rating,8.115908159026576,base,enrich,100
composite,8.308285851904778,base,enrich,100
truth,7.957537041234638,base,enrich,100
pw,3.8459275006282314,storm,enrich,100
beale,8.493988191048006,storm,enrich,100
rating,46.26926932623215,storm,enrich,100
composite,49.1719875090994,storm,enrich,100
truth,57.107455816928415,storm,enrich,100
pw,4.583786463882835,unaltered,enrich,100
beale,5.492629652223589,unaltered,enrich,100
rating,10.415729848666006,unaltered,enrich,100
composite,10.800001691414968,unaltered,enrich,100
truth,10.590015488751366,unaltered,enrich,100
pw,14.109285119667124,base,none,100
beale,13.796921951005915,base,none,100
rating,13.325105068624875,base,none,100
composite,13.950618299886715,base,none,100
truth,13.313588202188258,base,none,100
pw,14.374602701005058,storm,none,100
beale,13.137574546795422,storm,none,100
rating,13.088251756990173,storm,none,100
composite,13.95277221633649,storm,none,100
truth,13.345708602944251,storm,none,100
pw,14.125771402022941,unaltered,none,100
beale,13.715230917893578,unaltered,none,100
rating,13.26431166320019,unaltered,none,100
composite,13.918019708594082,unaltered,none,100
truth,13.341188941552222,unaltered,none,100
pw,13.267905831457668,base,chemostatic,100
beale,13.24013280609708,base,chemostatic,100
rating,13.243828865302849,base,chemostatic,100
composite,13.309365434229566,base,chemostatic,100
truth,13.313588202188258,base,chemostatic,100
pw,13.350889501154624,storm,chemostatic,100
beale,13.241110590317675,storm,chemostatic,100
rating,13.189232611125977,storm,chemostatic,100
composite,13.353083868431492,storm,chemostatic,100
truth,13.271404187737174,storm,chemostatic,100
pw,13.271222225703378,unaltered,chemostatic,100
beale,13.235918818574461,unaltered,chemostatic,100
rating,13.233532737363918,unaltered,chemostatic,100
composite,13.313230538882102,unaltered,chemostatic,100
truth,13.306502848462411,unaltered,chemostatic,100
pw,12.552858289183735,base,broken_dilution,99
beale,11.895090629379746,base,broken_dilution,99
rating,10.447081415362526,base,broken_dilution,99
composite,10.462665948549173,base,broken_dilution,99
truth,10.65176546896128,base,broken_dilution,99
pw,32.026592423558526,storm,broken_dilution,99
beale,21.42357799935978,storm,broken_dilution,99
rating,11.120596980121109,storm,broken_dilution,99
composite,10.629203240245378,storm,broken_dilution,99
truth,15.216605674225711,storm,broken_dilution,99
pw,13.821796705681146,unaltered,broken_dilution,99
beale,12.750474191883292,unaltered,broken_dilution,99
rating,10.598161495353798,unaltered,broken_dilution,99
composite,10.631159838104768,unaltered,broken_dilution,99
truth,11.529779652998178,unaltered,broken_dilution,99
pw,4.448937733386005,base,enrich,99
beale,4.970931443599771,base,enrich,99
rating,7.4697918070059375,base,enrich,99
composite,7.635830483612821,base,enrich,99
truth,7.945636878257849,base,enrich,99
pw,3.554336522490578,storm,enrich,99
beale,7.887279130531142,storm,enrich,99
rating,44.16688705002256,storm,enrich,99
composite,47.78590678500394,storm,enrich,99
truth,56.66351594341366,storm,enrich,99
pw,4.422338407614924,unaltered,enrich,99
beale,5.280456188492808,unaltered,enrich,99
rating,9.970973461256785,unaltered,enrich,99
composite,10.30845278281253,unaltered,enrich,99
truth,10.557833871928771,unaltered,enrich,99
pw,13.24075154523486,base,none,99
beale,13.177293584626007,base,none,99
rating,13.026605710181405,base,none,99
composite,13.35861211824246,base,none,99
truth,13.312370718410502,base,none,99
pw,13.120228516186144,storm,none,99
beale,13.013328833351116,storm,none,99
rating,13.631129185050648,storm,none,99
composite,13.669031041695401,storm,none,99
truth,13.27281425925715,storm,none,99
pw,13.234012599232999,unaltered,none,99
beale,13.16456350931769,unaltered,none,99
rating,13.110226279574539,unaltered,none,99
composite,13.40629754573799,unaltered,none,99
truth,13.298671386869707,unaltered,none,99
pw,13.117989497819226,base,chemostatic,99
beale,13.148576664208912,base,chemostatic,99
rating,13.222771756382464,base,chemostatic,99
composite,13.303970923323423,base,chemostatic,99
truth,13.312370718410502,base,chemostatic,99
pw,13.096395121667975,storm,chemostatic,99
beale,13.274253332009424,storm,chemostatic,99
rating,13.371187061812163,storm,chemostatic,99
composite,13.4115444336234,storm,chemostatic,99
truth,13.287278510205741,storm,chemostatic,99
pw,13.113842247895033,unaltered,chemostatic,99
beale,13.161195513585042,unaltered,chemostatic,99
rating,13.245376147058982,unaltered,chemostatic,99
composite,13.326575584213218,unaltered,chemostatic,99
truth,13.307292931596507,unaltered,chemostatic,99
pw,13.02684235931515,base,broken_dilution,98
beale,12.525240283467094,base,broken_dilution,98
rating,10.839946112317092,base,broken_dilution,98
composite,10.753411037659147,base,broken_dilution,98
truth,10.664901519833988,base,broken_dilution,98
pw,32.0841253335079,storm,broken_dilution,98
beale,22.418293229455617,storm,broken_dilution,98
rating,11.445669930348787,storm,broken_dilution,98
composite,9.744262662710387,storm,broken_dilution,98
truth,15.268956075213397,storm,broken_dilution,98
pw,14.153252487218536,unaltered,broken_dilution,98
beale,13.297868977808394,unaltered,broken_dilution,98
