method,estimate,flow,cq,runid
pw,25.30300924167781,base,broken_dilution,100
beale,25.27959117514535,base,broken_dilution,100
rating,25.306673563966317,base,broken_dilution,100
composite,25.478422975632164,base,broken_dilution,100
truth,24.085922809061262,base,broken_dilution,100
pw,25.261501049742165,storm,broken_dilution,100
beale,25.143514641058363,storm,broken_dilution,100
rating,24.887124910558715,storm,broken_dilution,100
composite,25.136389407216168,storm,broken_dilution,100
truth,19.207693007429402,storm,broken_dilution,100
pw,25.279799150707824,unaltered,broken_dilution,100
beale,25.24573575112933,unaltered,broken_dilution,100
rating,25.227018051287295,unaltered,broken_dilution,100
composite,25.42421211090821,unaltered,broken_dilution,100
truth,23.108279872819267,unaltered,broken_dilution,100
pw,117.51470604644099,base,enrich,100
beale,119.28742919522979,base,enrich,100
rating,135.30602305090645,base,enrich,100
composite,137.71686970478726,base,enrich,100
truth,135.2155487297451,base,enrich,100
pw,121.91410066469834,storm,enrich,100
beale,126.77122313228172,storm,enrich,100
rating,178.88389988424078,storm,enrich,100
composite,185.6351567810919,storm,enrich,100
truth,180.51788781568075,storm,enrich,100
pw,119.25549353869573,unaltered,enrich,100
beale,121.48112602868616,unaltered,enrich,100
rating,147.93331612721326,unaltered,enrich,100
composite,151.29377197964192,unaltered,enrich,100
truth,145.60923843546541,unaltered,enrich,100
pw,13.197897254914423,base,none,100
beale,13.237405225161684,base,none,100
rating,13.525589977864234,base,none,100
composite,13.880214914914466,base,none,100
truth,13.315164331596483,base,none,100
pw,13.975300180179829,storm,none,100
beale,13.76967202599609,storm,none,100
rating,15.66331217966767,storm,none,100
composite,16.426190781153117,storm,none,100
truth,13.270599923067783,storm,none,100
pw,13.394185851108396,unaltered,none,100
beale,13.381724917267565,unaltered,none,100
rating,14.136040582874069,unaltered,none,100
composite,14.547452892099589,unaltered,none,100
truth,13.299891164193724,unaltered,none,100
pw,13.14869338639876,base,chemostatic,100
beale,13.141564743630695,base,chemostatic,100
rating,13.063157539807149,base,chemostatic,100
composite,13.129706466532696,base,chemostatic,100
truth,13.315164331596483,base,chemostatic,100
pw,13.055042300493167,storm,chemostatic,100
beale,13.055258466978161,storm,chemostatic,100
rating,12.758857479940541,storm,chemostatic,100
composite,12.829649877131189,storm,chemostatic,100
truth,13.258749303585686,storm,chemostatic,100
pw,13.112610514102512,unaltered,chemostatic,100
beale,13.112632482347365,unaltered,chemostatic,100
rating,12.97338581957041,unaltered,chemostatic,100
composite,13.038911263612768,unaltered,chemostatic,100
truth,13.300413175566954,unaltered,chemostatic,100
pw,25.780629910543915,base,broken_dilution,99
beale,25.74268699900234,base,broken_dilution,99
