method,estimate,flow,cq,runid
pw,13.209680604772803,base,dilution,2
beale,13.307456659457467,base,dilution,2
rating,10.776931642328968,base,dilution,2
composite,10.667089749205596,base,dilution,2
truth,10.671342345512956,base,dilution,2
pw,33.11509399285752,storm,dilution,2
beale,41.734796850179805,storm,dilution,2
rating,13.61581357952372,storm,dilution,2
composite,11.28461501674886,storm,dilution,2
truth,15.133288547975614,storm,dilution,2
pw,14.255382747009344,unaltered,dilution,2
beale,14.592759453363565,unaltered,dilution,2
rating,10.885738858027278,unaltered,dilution,2
composite,10.591942445918031,unaltered,dilution,2
truth,11.607511946692926,unaltered,dilution,2
pw,3.887465462777626,base,enrich,2
beale,3.932072143156175,base,enrich,2
rating,7.420161695109662,base,enrich,2
composite,8.663627603332959,base,enrich,2
truth,8.007950068730235,base,enrich,2
pw,2.0078752842414485,storm,enrich,2
beale,2.0892973218137043,storm,enrich,2
rating,16.986070709305597,storm,enrich,2
composite,29.516209615104824,storm,enrich,2
truth,58.06169227542096,storm,enrich,2
pw,3.7110566251744204,unaltered,enrich,2
beale,3.7525810224820315,unaltered,enrich,2
rating,9.012258427883117,unaltered,enrich,2
composite,11.473529103699686,unaltered,enrich,2
truth,10.68043715345329,unaltered,enrich,2
pw,14.052702405812619,base,none,2
beale,14.029076998977926,base,none,2
rating,12.890870428391121,base,none,2
composite,12.747466735633708,base,none,2
truth,13.311933168635134,base,none,2
pw,14.076526899376699,storm,none,2
beale,14.001253483163024,storm,none,2
rating,12.817944264778909,storm,none,2
composite,12.978960894829473,storm,none,2
truth,13.385061916295548,storm,none,2
pw,14.01312884309538,unaltered,none,2
beale,14.00995724647021,unaltered,none,2
rating,12.803633786424736,unaltered,none,2
composite,12.699361738316622,unaltered,none,2
truth,13.354399427213524,unaltered,none,2
pw,12.716273728439303,base,chemostatic,2
beale,12.662318044658242,base,chemostatic,2
rating,12.654403824138823,base,chemostatic,2
composite,12.864637447892477,base,chemostatic,2
truth,13.311933168635134,base,chemostatic,2
pw,12.762260451163593,storm,chemostatic,2
beale,12.59639594298928,storm,chemostatic,2
rating,12.535471492449766,storm,chemostatic,2
composite,12.845634767775802,storm,chemostatic,2
truth,13.270768477689556,storm,chemostatic,2
pw,12.716770965263565,unaltered,chemostatic,2
beale,12.648740345681642,unaltered,chemostatic,2
rating,12.630415316244683,unaltered,chemostatic,2
composite,12.86397444262556,unaltered,chemostatic,2
truth,13.305325666918577,unaltered,chemostatic,2
pw,13.681983968355226,base,dilution,1
beale,13.764731975596652,base,dilution,1
rating,11.133629793134594,base,dilution,1
composite,10.962125335481218,base,dilution,1
truth,10.655608705053861,base,dilution,1
pw,34.63983447092794,storm,dilution,1
beale,41.292717227503246,storm,dilution,1
rating,13.708353658970816,storm,dilution,1
composite,11.698417574147415,storm,dilution,1
truth,15.060948191936362,storm,dilution,1
pw,14.82759697261972,unaltered,dilution,1
beale,14.949636419323486,unaltered,dilution,1
rating,11.13850859207569,unaltered,dilution,1
composite,10.980366261482066,unaltered,dilution,1
truth,11.51749884146999,unaltered,dilution,1
pw,3.6648423173496876,base,enrich,1
beale,3.6415557846877045,base,enrich,1
rating,6.377293194312839,base,enrich,1
composite,7.388606259452338,base,enrich,1
truth,7.990462196702247,base,enrich,1
pw,1.9039081005234273,storm,enrich,1
beale,1.8225674870307293,storm,enrich,1
rating,15.321131415330356,storm,enrich,1
composite,26.50490091308743,storm,enrich,1
truth,57.860042430679414,storm,enrich,1
pw,3.492709233644874,unaltered,enrich,1
beale,3.465030092059157,unaltered,enrich,1
rating,8.085385891676085,unaltered,enrich,1
composite,10.17240400403281,unaltered,enrich,1
truth,10.653151765708518,unaltered,enrich,1
pw,13.441296888976709,base,none,1
beale,13.42456987241533,base,none,1
rating,14.563518203244174,base,none,1
composite,15.196924103427865,base,none,1
truth,13.309838161041801,base,none,1
pw,13.83526582908066,storm,none,1
beale,13.736681504820574,storm,none,1
rating,15.642795444673508,storm,none,1
composite,17.14887025288831,storm,none,1
truth,13.315751724497929,storm,none,1
pw,13.50936992514403,unaltered,none,1
beale,13.501181191121203,unaltered,none,1
rating,14.953588952051392,unaltered,none,1
composite,15.725261868811351,unaltered,none,1
truth,13.326790025648922,unaltered,none,1
pw,13.22413269773744,base,chemostatic,1
beale,13.157043733126553,base,chemostatic,1
rating,13.319308165938402,base,chemostatic,1
composite,13.34818121823519,base,chemostatic,1
truth,13.309838161041801,base,chemostatic,1
pw,13.407712684051292,storm,chemostatic,1
beale,13.06635783212674,storm,chemostatic,1
rating,13.196150149232476,storm,chemostatic,1
composite,13.247440245060519,storm,chemostatic,1
truth,13.266986513199564,storm,chemostatic,1
pw,13.243181582510873,unaltered,chemostatic,1
beale,13.145118955190453,unaltered,chemostatic,1
rating,13.313530248580111,unaltered,chemostatic,1
composite,13.3232330852335,unaltered,chemostatic,1
truth,13.302629419750643,unaltered,chemostatic,1
