method,estimate,flow,cq,runid
pw,12.56222090145998,base,dilution,2
beale,11.85104267723264,base,dilution,2
rating,10.329952945421606,base,dilution,2
composite,10.408388770977323,base,dilution,2
truth,10.664052185152658,base,dilution,2
pw,31.86920320550245,storm,dilution,2
beale,20.7552607618286,storm,dilution,2
rating,10.90314278901372,storm,dilution,2
composite,10.806674999408333,storm,dilution,2
truth,16.655332630289987,storm,dilution,2
pw,13.64456024473755,unaltered,dilution,2
beale,12.529878236479052,unaltered,dilution,2
rating,10.390401637154248,unaltered,dilution,2
composite,10.478640933590805,unaltered,dilution,2
truth,11.92046270343897,unaltered,dilution,2
pw,4.474023293320827,base,enrich,2
beale,4.983849252386272,base,enrich,2
rating,7.63272311853881,base,enrich,2
composite,7.769959592626849,base,enrich,2
truth,7.970239238656803,base,enrich,2
pw,3.6690956146251565,storm,enrich,2
beale,8.055672707609665,storm,enrich,2
rating,43.94718748924091,storm,enrich,2
composite,46.530677625800784,storm,enrich,2
truth,56.766265529009594,storm,enrich,2
pw,4.473138136136985,unaltered,enrich,2
beale,5.318923150794656,unaltered,enrich,2
rating,9.924059283445805,unaltered,enrich,2
composite,10.187770732363097,unaltered,enrich,2
truth,10.59455398840381,unaltered,enrich,2
pw,13.502272806689234,base,none,2
beale,13.700441641045483,base,none,2
rating,13.688216926112581,base,none,2
composite,14.242412142024804,base,none,2
truth,13.31090733935306,base,none,2
pw,13.43947745620032,storm,none,2
beale,14.49537365088705,storm,none,2
rating,14.995296398522928,storm,none,2
composite,15.353348265049098,storm,none,2
truth,13.189854221025742,storm,none,2
pw,13.518973508370992,unaltered,none,2
beale,13.80275878438364,unaltered,none,2
rating,13.893160817382936,unaltered,none,2
composite,14.436597694775118,unaltered,none,2
truth,13.28670919285211,unaltered,none,2
pw,13.27653085540705,base,chemostatic,2
beale,13.294248409993422,base,chemostatic,2
rating,13.438739642443808,base,chemostatic,2
composite,13.499643089400276,base,chemostatic,2
truth,13.31090733935306,base,chemostatic,2
pw,13.293365300465545,storm,chemostatic,2
beale,13.331995066820571,storm,chemostatic,2
rating,13.672326273989533,storm,chemostatic,2
composite,13.732447499633755,storm,chemostatic,2
truth,13.26075274459024,storm,chemostatic,2
pw,13.27694319406359,unaltered,chemostatic,2
beale,13.299318468284998,unaltered,chemostatic,2
rating,13.475997340281461,unaltered,chemostatic,2
composite,13.539302416880465,unaltered,chemostatic,2
truth,13.302913018173959,unaltered,chemostatic,2
pw,12.332668566766333,base,dilution,1
beale,11.67945772808319,base,dilution,1
rating,10.166785053259128,base,dilution,1
composite,10.197716898292319,base,dilution,1
truth,10.661788387684826,base,dilution,1
pw,31.787390178755686,storm,dilution,1
beale,24.08759860423799,storm,dilution,1
rating,10.892428022687024,storm,dilution,1
composite,11.012470434983578,storm,dilution,1
truth,16.524382124543184,storm,dilution,1
pw,13.66168411532533,unaltered,dilution,1
beale,12.880635746035423,unaltered,dilution,1
rating,10.326310332407097,unaltered,dilution,1
composite,10.525665559941615,unaltered,dilution,1
truth,11.736453358865317,unaltered,dilution,1
pw,4.623335892992633,base,enrich,1
beale,5.198833271933482,base,enrich,1
rating,7.977285673185383,base,enrich,1
composite,8.108909200148613,base,enrich,1
truth,7.98863389236741,base,enrich,1
pw,3.7906634124781937,storm,enrich,1
beale,8.496359952696375,storm,enrich,1
rating,40.77911017529475,storm,enrich,1
composite,43.66434459581353,storm,enrich,1
truth,57.648688835362165,storm,enrich,1
pw,4.624043177970929,unaltered,enrich,1
beale,5.55637864546637,unaltered,enrich,1
rating,10.003933287219958,unaltered,enrich,1
composite,10.358212432971367,unaltered,enrich,1
truth,10.64549846506071,unaltered,enrich,1
pw,13.464238143337361,base,none,1
beale,13.433750202319475,base,none,1
rating,13.232826087714848,base,none,1
composite,13.345575444528617,base,none,1
truth,13.302851445361217,base,none,1
pw,13.466168161087927,storm,none,1
beale,13.166243012838569,storm,none,1
rating,13.280057444412586,storm,none,1
composite,13.318536436458519,storm,none,1
truth,13.313328807317342,storm,none,1
pw,13.449446873805174,unaltered,none,1
beale,13.398231384275231,unaltered,none,1
rating,13.230677757985788,unaltered,none,1
composite,13.319777445917719,unaltered,none,1
truth,13.320693049011531,unaltered,none,1
pw,13.192576081524287,base,chemostatic,1
beale,13.187490722037342,base,chemostatic,1
rating,13.092654703429648,base,chemostatic,1
composite,13.131677773022211,base,chemostatic,1
truth,13.302851445361217,base,chemostatic,1
pw,13.133653419320318,storm,chemostatic,1
beale,13.136184075264675,storm,chemostatic,1
rating,12.764130970239636,storm,chemostatic,1
composite,12.79505175952459,storm,chemostatic,1
truth,13.26513940328846,storm,chemostatic,1
pw,13.174684845046956,unaltered,chemostatic,1
beale,13.172009388842056,unaltered,chemostatic,1
rating,13.041547763047362,unaltered,chemostatic,1
composite,13.082216163667042,unaltered,chemostatic,1
truth,13.29650313622486,unaltered,chemostatic,1
